name,type,frameType,race,banlist_info.ban_tcg,atk,def,level,attribute,views,upvotes,downvotes,net_votes
Aleister the Invoker of Madness,Link Monster,link,Spellcaster,,1800.0,,0.0,DARK,441557,18,4,14
Aleister the Reminiscent,Effect Monster,effect,Spellcaster,,1800.0,1000.0,4.0,DARK,163740,0,0,0
ALERT!,Spell Card,spell,Quick-Play,,,,,,118993,0,0,0
Alexandrite Dragon,Normal Monster,normal,Dragon,,2000.0,100.0,4.0,LIGHT,355863,38,13,25
Alghoul Mazera,Effect Monster,effect,Zombie,,2800.0,2300.0,8.0,EARTH,209359,5,2,3
"Alice, Lady of Lament",Effect Monster,effect,Fiend,,0.0,2000.0,3.0,DARK,87542,12,0,12
"Alich, Malebranche of the Burning Abyss",Effect Monster,effect,Fiend,,1200.0,0.0,3.0,DARK,155726,8,0,8
Alien Ammonite,Tuner Monster,effect,Reptile,,500.0,200.0,1.0,LIGHT,149772,4,1,3
Alien Brain,Trap Card,trap,Normal,,,,,,82854,2,1,1
Alien Dog,Effect Monster,effect,Reptile,,1500.0,1000.0,3.0,LIGHT,108489,13,2,11
Alien Grey,Flip Effect Monster,effect,Reptile,,300.0,800.0,2.0,LIGHT,98298,4,1,3
Alien Hunter,Effect Monster,effect,Reptile,,1600.0,800.0,4.0,WATER,72291,3,1,2
Alien Hypno,Gemini Monster,effect,Reptile,,1600.0,700.0,4.0,WATER,64581,5,0,5
Alien Infiltrator,Effect Monster,effect,Reptile,,800.0,500.0,2.0,EARTH,45665,3,2,1
Alien Kid,Effect Monster,effect,Reptile,,1600.0,700.0,4.0,LIGHT,81893,4,1,3
Alien Mars,Effect Monster,effect,Reptile,,1000.0,1000.0,3.0,FIRE,63594,1,1,0
Alien Mother,Effect Monster,effect,Reptile,,2300.0,1500.0,6.0,DARK,90547,4,2,2
Alien Overlord,Effect Monster,effect,Reptile,,2200.0,1600.0,6.0,DARK,106561,4,1,3
Alien Psychic,Effect Monster,effect,Reptile,,200.0,100.0,1.0,DARK,52519,3,2,1
Alien Shocktrooper,Normal Monster,normal,Reptile,,1900.0,800.0,4.0,EARTH,136759,8,1,7
Alien Shocktrooper M-Frame,Link Monster,link,Reptile,,1900.0,,,LIGHT,145241,14,2,12
Alien Skull,Effect Monster,effect,Reptile,,1600.0,1800.0,4.0,WIND,63897,2,1,1
Alien Stealthbuster,Effect Monster,effect,Reptile,,1700.0,1500.0,4.0,LIGHT,83182,4,0,4
Alien Telepath,Effect Monster,effect,Reptile,,1600.0,1000.0,4.0,FIRE,76832,3,1,2
Alien Warrior,Effect Monster,effect,Reptile,,1800.0,1000.0,4.0,EARTH,146307,4,2,2
Alinsection,Normal Monster,normal,Insect,,950.0,700.0,3.0,EARTH,18546,1,1,0
All-Eyes Phantom Dragon,Pendulum Effect Monster,effect_pendulum,Dragon,,3000.0,2500.0,10.0,LIGHT,92141,10,1,9
All-Out Attacks,Trap Card,trap,Continuous,,,,,,55361,2,0,2
Allied Code Talker @Ignister,Link Monster,link,Cyberse,,2300.0,,,DARK,237681,0,0,0
Alligator's Sword,Normal Monster,normal,Beast,,1500.0,1200.0,4.0,EARTH,164196,16,16,0
Alligator's Sword Dragon,Fusion Monster,fusion,Dragon,,1700.0,1500.0,5.0,WIND,442026,6,3,3
Allure Dance,Spell Card,spell,Continuous,,,,,,32821,0,0,0
Allure of Darkness,Spell Card,spell,Normal,,,,,,4538101,34,8,26
Allure Palace,Spell Card,spell,Field,,,,,,27266,0,0,0
Allure Queen LV3,Effect Monster,effect,Spellcaster,,500.0,500.0,3.0,DARK,81479,8,8,0
Allure Queen LV5,Effect Monster,effect,Spellcaster,,1000.0,1000.0,5.0,DARK,71462,3,0,3
Allure Queen LV7,Effect Monster,effect,Spellcaster,,1500.0,1500.0,7.0,DARK,84416,5,0,5
Alluring Mirror Split,Spell Card,spell,Continuous,,,,,,134037,15,2,13
Allvain the Essence of Vanity,Fusion Monster,fusion,Fairy,,0.0,2100.0,2.0,DARK,174258,10,0,10
Ally Mind,Normal Tuner Monster,normal,Machine,,1800.0,1400.0,5.0,DARK,24160,3,4,-1
Ally of Justice Catastor,Synchro Monster,synchro,Machine,,2200.0,1200.0,5.0,DARK,485673,14,1,13
Ally of Justice Clausolas,Normal Monster,normal,Machine,,2300.0,1200.0,6.0,DARK,39530,5,4,1
Ally of Justice Core Destroyer,Effect Monster,effect,Machine,,1200.0,200.0,3.0,DARK,40481,2,0,2
Ally of Justice Cosmic Gateway,Effect Monster,effect,Machine,,2400.0,1200.0,8.0,DARK,27851,4,0,4
Ally of Justice Cycle Reader,Tuner Monster,effect,Machine,,1000.0,1000.0,3.0,DARK,148127,3,0,3
Ally of Justice Cyclone Creator,Tuner Monster,effect,Machine,,1400.0,1200.0,3.0,DARK,36425,4,0,4
Ally of Justice Decisive Armor,Synchro Monster,synchro,Machine,,3300.0,3300.0,10.0,DARK,58265,9,0,9
Ally of Justice Enemy Catcher,Effect Monster,effect,Machine,,1800.0,1800.0,6.0,DARK,21441,1,0,1
Ally of Justice Field Marshal,Synchro Monster,synchro,Machine,,2900.0,2600.0,9.0,DARK,48705,6,0,6
Ally of Justice Garadholg,Effect Monster,effect,Machine,,1600.0,400.0,4.0,DARK,30038,2,3,-1
Ally of Justice Light Gazer,Synchro Monster,synchro,Machine,,2400.0,1600.0,8.0,DARK,33564,3,1,2
Ally of Justice Nullfier,Effect Monster,effect,Machine,,1600.0,1200.0,4.0,DARK,19145,2,1,1
Ally of Justice Omni-Weapon,Effect Monster,effect,Machine,,2200.0,800.0,5.0,DARK,19400,4,1,3
Ally of Justice Quarantine,Effect Monster,effect,Machine,,1700.0,1200.0,4.0,DARK,30641,6,0,6
Ally of Justice Reverse Break,Effect Monster,effect,Machine,,1200.0,1200.0,4.0,DARK,19197,1,0,1
Ally of Justice Rudra,Effect Monster,effect,Machine,,1900.0,1200.0,5.0,DARK,26777,4,0,4
Ally of Justice Searcher,Effect Monster,effect,Machine,,1400.0,100.0,3.0,DARK,20081,3,0,3
Ally of Justice Thousand Arms,Effect Monster,effect,Machine,,1700.0,0.0,4.0,DARK,28666,2,1,1
Ally of Justice Thunder Armor,Effect Monster,effect,Machine,,2700.0,2200.0,8.0,DARK,21396,3,0,3
Ally of Justice Unknown Crusher,Effect Monster,effect,Machine,,1200.0,800.0,3.0,DARK,24737,1,0,1
Ally of Justice Unlimiter,Effect Monster,effect,Machine,,600.0,200.0,2.0,DARK,20725,2,1,1
Ally Salvo,Effect Monster,effect,Machine,,400.0,300.0,2.0,DARK,20127,3,0,3
Aloof Lupine,Effect Monster,effect,Beast,,1700.0,300.0,4.0,DARK,336208,14,2,12
"Alpacaribou, Mystical Beast of the Forest",Effect Monster,effect,Beast,,2700.0,2100.0,7.0,EARTH,35099,7,1,6
Alpha Summon,Trap Card,trap,Normal,,,,,,11140,0,0,0
Alpha The Electromagnet Warrior,Effect Monster,effect,Rock,,1700.0,1100.0,3.0,EARTH,151541,7,0,7
Alpha The Magnet Warrior,Normal Monster,normal,Rock,,1400.0,1700.0,4.0,EARTH,240593,4,5,-1
"Alpha, the Master of Beasts",Effect Monster,effect,Beast,,3000.0,2500.0,8.0,EARTH,451731,21,2,19
Altar for Tribute,Trap Card,trap,Normal,,,,,,87977,2,0,2
Altergeist Adminia,Link Monster,link,Spellcaster,,3000.0,,,DARK,48462,0,0,0
Altergeist Camouflage,Trap Card,trap,Normal,,,,,,37807,2,2,0
Altergeist Dragvirion,Synchro Monster,synchro,Spellcaster,,2200.0,1200.0,6.0,DARK,69625,5,4,1
Altergeist Emulatelf,Trap Card,trap,Continuous,,,,,,56980,5,1,4
Altergeist Failover,Trap Card,trap,Continuous,,,,,,25835,3,1,2
Altergeist Fifinellag,Tuner Monster,effect,Spellcaster,,0.0,1000.0,2.0,DARK,36488,1,3,-2
Altergeist Fijialert,Effect Monster,effect,Spellcaster,,1400.0,1200.0,4.0,WATER,28534,2,3,-1
Altergeist Haunted Rock,Trap Card,trap,Continuous,,,,,,50446,3,2,1
Altergeist Hexstia,Link Monster,link,Spellcaster,,1500.0,,0.0,FIRE,207887,11,0,11
